organism,gene_name,tAI
M. musculus,1700022I11Rik,0.189864195
M. musculus,1700023F06Rik,0.201638246
M. musculus,1700024B05Rik,0.206620546
M. musculus,1700024G13Rik,0.205810544
M. musculus,1700024P04Rik,0.187825381
M. musculus,1700025B11Rik,0.191567664
M. musculus,1700025C18Rik,0.189288277
M. musculus,1700025F22Rik,0.174687499
M. musculus,1700025G04Rik,0.192117339
M. musculus,1700028J19Rik,0.182642447
M. musculus,1700028K03Rik,0.187432036
M. musculus,1700028P14Rik,0.187103186
M. musculus,1700029F12Rik,0.208300076
M. musculus,1700029H14Rik,0.229581484
M. musculus,1700029I15Rik,0.160443196
M. musculus,1700029J07Rik,0.190130094
M. musculus,1700029P11Rik,0.206178892
M. musculus,1700030J22Rik,0.199829672
M. musculus,1700030K09Rik,0.199106412
M. musculus,1700031F05Rik,0.193941857
M. musculus,1700034E13Rik,0.199497278
M. musculus,1700034I23Rik,0.200420252
M. musculus,1700034J05Rik,0.185260351
M. musculus,1700037C18Rik,0.19923237
M. musculus,1700037H04Rik,0.192272205
M. musculus,1700040F15Rik,0.199506791
M. musculus,1700042G07Rik,0.177106826
M. musculus,1700047I17Rik2,0.208983188
M. musculus,1700049E17Rik1,0.197666811
M. musculus,1700049E17Rik2,0.197666811
M. musculus,1700056E22Rik,0.192377651
M. musculus,1700057G04Rik,0.166638656
M. musculus,1700061G19Rik,0.205196046
M. musculus,1700064H15Rik,0.18603935
M. musculus,1700066B19Rik,0.187628955
M. musculus,1700066M21Rik,0.185029436
M. musculus,1700067K01Rik,0.200363573
M. musculus,1700067P10Rik,0.198042142
M. musculus,1700069L16Rik,0.182555409
M. musculus,1700074P13Rik,0.188062738
M. musculus,1700080E11Rik,0.19648213
M. musculus,1700080O16Rik,0.189852273
M. musculus,1700084M14Rik,0.257426124
M. musculus,1700086D15Rik,0.190677592
M. musculus,1700088E04Rik,0.205757941
M. musculus,1700092M07Rik,0.194438754
M. musculus,1700093K21Rik,0.200409252
M. musculus,1700102P08Rik,0.200987764
M. musculus,1700109H08Rik,0.192289497
M. musculus,1700113H08Rik,0.193160315
M. musculus,1700122O11Rik,0.18916759
M. musculus,1700123K08Rik,0.199372269
M. musculus,1700123L14Rik,0.210018709
M. musculus,1700123O20Rik,0.205138979
M. musculus,1700125H20Rik,0.207581384
M. musculus,1700129C05Rik,0.176454131
M. musculus,1810009A15Rik,0.213343716
M. musculus,1810009J06Rik,0.202349528
M. musculus,1810010D01Rik,0.192230941
M. musculus,1810010H24Rik,0.198996527
M. musculus,1810011H11Rik,0.210341144
M. musculus,1810013L24Rik,0.195291536
M. musculus,1810022K09Rik,0.207514212
M. musculus,1810024B03Rik,0.183048559
M. musculus,1810030O07Rik,0.199896244
M. musculus,1810032O08Rik,0.194988385
M. musculus,1810037I17Rik,0.176230824
M. musculus,1810041L15Rik,0.194697079
M. musculus,1810043G02Rik,0.204743269
M. musculus,1810046K07Rik,0.180822456
M. musculus,1810049J17Rik,0.19189154
M. musculus,1810055G02Rik,0.197851295
M. musculus,1810062G17Rik,0.189715362
M. musculus,1810065E05Rik,0.202840242
M. musculus,2010003K11Rik,0.174902171
M. musculus,2010005H15Rik,0.190955015
M. musculus,2010106E10Rik,0.197455282
M. musculus,2010107E04Rik,0.172875407
M. musculus,2010109A12Rik,0.185709817
M. musculus,2010109I03Rik,0.212680096
M. musculus,2010111I01Rik,0.202052918
M. musculus,2010315B03Rik,0.181185646
M. musculus,2200002D01Rik,0.280361782
M. musculus,2200002J24Rik,0.207016342
M. musculus,2210010C04Rik,0.205233239
M. musculus,2210011C24Rik,0.195372323
M. musculus,2210016F16Rik,0.198150038
M. musculus,2210016L21Rik,0.242482758
M. musculus,2210017I01Rik,0.219808602
M. musculus,2210407C18Rik,0.201215264
M. musculus,2210408I21Rik,0.190550279
M. musculus,2210418O10Rik,0.182544009
M. musculus,2300002M23Rik,0.186729464
M. musculus,2300003K06Rik,0.262921229
M. musculus,2300009A05Rik,0.193197096
M. musculus,2310002L09Rik,0.18828533
M. musculus,2310003L06Rik,0.174553625
M. musculus,2310007B03Rik,0.200692935
M. musculus,2310009B15Rik,0.204963631
M. musculus,2310011J03Rik,0.214339972
M. musculus,2310022A10Rik,0.208291858
M. musculus,2310022B05Rik,0.209239739
M. musculus,2310030G06Rik,0.202676551
M. musculus,2310033P09Rik,0.218823808
M. musculus,2310034C09Rik,0.210704049
M. musculus,2310034G01Rik,0.196442246
M. musculus,2310035C23Rik,0.186001751
M. musculus,2310039H08Rik,0.201265134
M. musculus,2310046K23Rik,0.321068081
M. musculus,2310050C09Rik,0.249287517
M. musculus,2310057J18Rik,0.173413294
M. musculus,2310057M21Rik,0.192464054
M. musculus,2310057N15Rik,0.208174434
M. musculus,2310061I04Rik,0.180093001
M. musculus,2310061N02Rik,0.185999074
M. musculus,2310079G19Rik,0.189962029
M. musculus,2410002F23Rik,0.194815957
M. musculus,2410004B18Rik,0.225985225
M. musculus,2410004P03Rik,0.208735414
M. musculus,2410015M20Rik,0.213736381
M. musculus,2410089E03Rik,0.190228433
M. musculus,2410131K14Rik,0.204957227
M. musculus,2410137M14Rik,0.189799857
M. musculus,2410141K09Rik,0.185045567
M. musculus,2510002D24Rik,0.208957792
M. musculus,2510009E07Rik,0.212074937
M. musculus,2510039O18Rik,0.200703188
M. musculus,2610001J05Rik,0.192148099
M. musculus,2610002M06Rik,0.206527967
M. musculus,2610008E11Rik,0.189808435
M. musculus,2610021A01Rik,0.191590126
M. musculus,2610028H24Rik,0.206299026
M. musculus,2610042L04Rik,0.20644358
M. musculus,2610044O15Rik8,0.17237845
M. musculus,2610301B20Rik,0.195090983
M. musculus,2610318N02Rik,0.196079134
M. musculus,2610507B11Rik,0.192833655
M. musculus,2610524H06Rik,0.191292767
M. musculus,2610528A11Rik,0.195369809
M. musculus,2610528J11Rik,0.198055817
M. musculus,2700049A03Rik,0.189811404
M. musculus,2700062C07Rik,0.198984904
M. musculus,2700081O15Rik,0.212029565
M. musculus,2700097O09Rik,0.184483664
M. musculus,2810004N23Rik,0.207219485
M. musculus,2810006K23Rik,0.206059877
M. musculus,2810021J22Rik,0.202576839
M. musculus,2810403A07Rik,0.200040733
M. musculus,2810408A11Rik,0.18928651
M. musculus,2810459M11Rik,0.208957174
M. musculus,2900011O08Rik,0.226310492
M. musculus,2900026A02Rik,0.19541656
M. musculus,2900055J20Rik,0.178894477
M. musculus,2900092C05Rik,0.181232768
M. musculus,3100002H09Rik,0.179817159
M. musculus,3110001I22Rik,0.186036038
M. musculus,3110002H16Rik,0.199340169
M. musculus,3110009E18Rik,0.181053154
M. musculus,3110018I06Rik,0.192953168
M. musculus,3110021N24Rik,0.20890709
M. musculus,3110035E14Rik,0.201824404
M. musculus,3110040M04Rik,0.190397861
M. musculus,3110040N11Rik,0.228733366
M. musculus,3110043O21Rik,0.183613458
M. musculus,3110062M04Rik,0.206801143
M. musculus,3110070M22Rik,0.183679209
M. musculus,3110079O15Rik,0.207052056
M. musculus,3110082I17Rik,0.226904808
M. musculus,3110082J24Rik,0.1747027
M. musculus,3300002I08Rik,0.177190441
M. musculus,3425401B19Rik,0.193444476
M. musculus,3632451O06Rik,0.193537176
M. musculus,3830403N18Rik,0.190774159
M. musculus,3830406C13Rik,0.179351674
M. musculus,3830417A13Rik,0.19577198
M. musculus,4430402I18Rik,0.204865848
M. musculus,4833420G17Rik,0.184457409
M. musculus,4833423E24Rik,0.190601233
M. musculus,4833427G06Rik,0.189767585
M. musculus,4833439L19Rik,0.203367964
M. musculus,4921501E09Rik,0.197089639
M. musculus,4921504E06Rik,0.191955813
M. musculus,4921507P07Rik,0.188872013
M. musculus,4921509C19Rik,0.190434119
M. musculus,4921511C20Rik,0.188772702
M. musculus,4921511M17Rik,0.185301312
M. musculus,4921517D22Rik,0.186211028
M. musculus,4921524J17Rik,0.20209818
M. musculus,4921524L21Rik,0.192119377
M. musculus,4921530L21Rik,0.21305733
M. musculus,4921536K21Rik,0.195522134
M. musculus,4921539E11Rik,0.183216388
M. musculus,4922502D21Rik,0.187764718
M. musculus,4930402F06Rik,0.193708265
M. musculus,4930402H24Rik,0.188402832
M. musculus,4930402K13Rik,0.194811242
M. musculus,4930404H24Rik,0.208780432
M. musculus,4930407I10Rik,0.202999952
M. musculus,4930412O13Rik,0.199035519
M. musculus,4930415L06Rik,0.18078185
M. musculus,4930415O20Rik,0.178118367
M. musculus,4930426L09Rik,0.171898373
M. musculus,4930430A15Rik,0.181652541
M. musculus,4930430F08Rik,0.198882479
M. musculus,4930432K21Rik,0.200711071
M. musculus,4930432M17Rik,0.196018171
M. musculus,4930433I11Rik,0.197094261
M. musculus,4930435E12Rik,0.180439779
M. musculus,4930438A08Rik,0.198573059
M. musculus,4930442H23Rik,0.177397998
M. musculus,4930444G20Rik,0.194263826
M. musculus,4930444P10Rik,0.199423287
M. musculus,4930447A16Rik,0.171497076
M. musculus,4930447C04Rik,0.171060996
M. musculus,4930447F04Rik,0.192629803
M. musculus,4930449I24Rik,0.200929092
M. musculus,4930451I11Rik,0.186603625
M. musculus,4930452B06Rik,0.18678185
M. musculus,4930453N24Rik,0.180516818
M. musculus,4930455H04Rik,0.171675444
M. musculus,4930467E23Rik,0.186248632
M. musculus,4930469K13Rik,0.213849709
M. musculus,4930470P17Rik,0.187057241
M. musculus,4930474N05Rik,0.184547617
M. musculus,4930480E11Rik,0.189094367
M. musculus,4930486L24Rik,0.193738066
M. musculus,4930502E18Rik,0.186215993
M. musculus,4930503B20Rik,0.190221092
M. musculus,4930503E14Rik,0.200389676
M. musculus,4930503L19Rik,0.180992132
M. musculus,4930504O13Rik,0.203478852
M. musculus,4930505A04Rik,0.193449093
M. musculus,4930507D05Rik,0.200336881
M. musculus,4930512M02Rik,0.18789353
M. musculus,4930513O06Rik,0.191871678
M. musculus,4930516K23Rik,0.181294156
M. musculus,4930518I15Rik,0.187876078
M. musculus,4930519G04Rik,0.200908042
M. musculus,4930519P11Rik,0.187428775
M. musculus,4930522H14Rik,0.191705776
M. musculus,4930522L14Rik,0.185743998
M. musculus,4930523C07Rik,0.210971921
M. musculus,4930524B15Rik,0.195474632
M. musculus,4930524J08Rik,0.191561018
M. musculus,4930524N10Rik,0.18304264
M. musculus,4930535I16Rik,0.18515987
M. musculus,4930539E08Rik,0.207375712
M. musculus,4930544D05Rik,0.204596122
M. musculus,4930544G11Rik,0.200909297
M. musculus,4930546C10Rik,0.178641466
M. musculus,4930548H24Rik,0.217722174
M. musculus,4930550C14Rik,0.198808324
M. musculus,4930550L24Rik,0.206732952
M. musculus,4930553M12Rik,0.190293877
M. musculus,4930555G01Rik,0.201687439
M. musculus,4930556J24Rik,0.183508562
M. musculus,4930558C23Rik,0.190827336
M. musculus,4930558K02Rik,0.190031792
M. musculus,4930562C15Rik,0.206490796
M. musculus,4930563D23Rik,0.200246875
M. musculus,4930563M21Rik,0.195640488
M. musculus,4930564D02Rik,0.195131987
M. musculus,4930567H17Rik,0.211433697
M. musculus,4930568D16Rik,0.181645502
M. musculus,4930572O03Rik,0.210388783
M. musculus,4930578C19Rik,0.191843468
M. musculus,4930578G10Rik,0.196412456
M. musculus,4930578I06Rik,0.215126353
M. musculus,4930579F01Rik,0.200193467
M. musculus,4930579G24Rik,0.183004017
M. musculus,4930583I09Rik,0.180203679
M. musculus,4930590J08Rik,0.203288225
M. musculus,4930595D18Rik,0.18407148
M. musculus,4930595M18Rik,0.17736995
M. musculus,4930596D02Rik,0.187607421
M. musculus,4931400O07Rik,0.192134193
M. musculus,4931406B18Rik,0.181446825
M. musculus,4931406C07Rik,0.192854352
M. musculus,4931406P16Rik,0.206076572
M. musculus,4931408C20Rik,0.190306747
M. musculus,4931409K22Rik,0.202980961
M. musculus,4931414P19Rik,0.202842868
M. musculus,4931417E11Rik,0.18408172
M. musculus,4931422A03Rik,0.207924548
M. musculus,4931423N10Rik,0.193695803
M. musculus,4931428F04Rik,0.203758344
M. musculus,4931429L15Rik,0.190024997
M. musculus,4931440F15Rik,0.213890355
M. musculus,4932411N23Rik,0.184059862
M. musculus,4932415D10Rik,0.188433328
M. musculus,4932429P05Rik,0.18276492
M. musculus,4932438A13Rik,0.165677685
M. musculus,4932438H23Rik,0.189630162
M. musculus,4932443I19Rik,0.201853833
M. musculus,4933400A11Rik,0.188214025
M. musculus,4933402D24Rik,0.202943687
M. musculus,4933402E13Rik,0.189952217
M. musculus,4933402J07Rik,0.224113726
M. musculus,4933402N03Rik,0.199342445
M. musculus,4933403O08Rik,0.171344978
M. musculus,4933405L10Rik,0.222959547
M. musculus,4933405O20Rik,0.198045649
M. musculus,4933406M09Rik,0.185344133
M. musculus,4933407L21Rik,0.215027493
M. musculus,4933408B17Rik,0.198832978
M. musculus,4933409G03Rik,0.203355666
M. musculus,4933411K16Rik,0.188560486
M. musculus,4933412E24Rik,0.202594543
M. musculus,4933414I15Rik,0.175177461
M. musculus,4933415A04Rik,0.222147092
M. musculus,4933415F23Rik,0.201712617
M. musculus,4933416C03Rik,0.199673929
M. musculus,4933417A18Rik,0.186521417
M. musculus,4933421I07Rik,0.193034004
M. musculus,4933425L06Rik,0.187655452
M. musculus,4933427D14Rik,0.19899101
M. musculus,4933427I04Rik,0.196233011
M. musculus,4933428G20Rik,0.188326373
M. musculus,4933428M09Rik,0.203856072
M. musculus,4933430I17Rik,0.194599669
M. musculus,4933434E20Rik,0.188269403
M. musculus,4933436I01Rik,0.199025362
M. musculus,5031410I06Rik,0.210921848
M. musculus,5031439G07Rik,0.206057533
M. musculus,5330417C22Rik,0.208124969
M. musculus,5330417H12Rik,0.204920628
M. musculus,5430401F13Rik,0.188780874
M. musculus,5430402E10Rik,0.208085319
M. musculus,5430403G16Rik,0.183221516
M. musculus,5430419D17Rik,0.197074103
M. musculus,5430427O19Rik,0.189149273
M. musculus,5530400C23Rik,0.180779314
M. musculus,5530401A14Rik,0.195274569
M. musculus,5730409E04Rik,0.206022586
M. musculus,5730455P16Rik,0.185960846
M. musculus,5730480H06Rik,0.190564513
M. musculus,5730507C01Rik,0.178060787
M. musculus,5730522E02Rik,0.190659153
M. musculus,5730559C18Rik,0.195659498
M. musculus,5730596B20Rik,0.190615472
M. musculus,5830411N06Rik,0.215961047
M. musculus,5830473C10Rik,0.212888807
M. musculus,5930422O12Rik,0.166382821
M. musculus,6030408B16Rik,0.219243353
M. musculus,6030419C18Rik,0.203235514
M. musculus,6030445D17Rik,0.203347125
M. musculus,6030452D12Rik,0.192858313
M. musculus,6030458C11Rik,0.187237201
M. musculus,6030468B19Rik,0.197327789
M. musculus,6030498E09Rik,0.197439993
M. musculus,6330409D20Rik,0.185297497
M. musculus,6430531B16Rik,0.197525322
M. musculus,6430548M08Rik,0.217787465
M. musculus,6430550D23Rik,0.195592831
M. musculus,6430571L13Rik,0.205454719
M. musculus,6430573F11Rik,0.200445639
M. musculus,6430628N08Rik,0.212308974
M. musculus,6720489N17Rik,0.193166018
M. musculus,6820408C15Rik,0.182560449
M. musculus,7420426K07Rik,0.181147028
M. musculus,7530416G11Rik,0.201320011
M. musculus,8030411F24Rik,0.195882848
M. musculus,8030423J24Rik,0.190722146
M. musculus,8030462N17Rik,0.200441693
M. musculus,8030474K03Rik,0.201549022
M. musculus,8430408G22Rik,0.191260725
M. musculus,9030025P20Rik,0.190576941
M. musculus,9030612E09Rik,0.211589352
M. musculus,9030624G23Rik,0.194624945
M. musculus,9030624J02Rik,0.203058446
M. musculus,9130008F23Rik,0.204388357
M. musculus,9130011E15Rik,0.197213867
M. musculus,9130019O22Rik,0.211835414
M. musculus,9130023H24Rik,0.19866111
M. musculus,9130204L05Rik,0.181601531
M. musculus,9130213A22Rik,0.156017072
M. musculus,9130230L23Rik,0.18274677
M. musculus,9130401M01Rik,0.2079487
M. musculus,9130409I23Rik,0.178900184
M. musculus,9230102O04Rik,0.203205099
M. musculus,9230104L09Rik,0.191594172
M. musculus,9230110C19Rik,0.181787346
M. musculus,9230110F15Rik,0.215098663
M. musculus,9230112D13Rik,0.186850985
M. musculus,9230113P08Rik,0.197792229
M. musculus,9330159F19Rik,0.186730547
M. musculus,9330161L09Rik,0.207242281
M. musculus,9330182L06Rik,0.207448494
M. musculus,9330182O14Rik,0.178472939
M. musculus,9430007A20Rik,0.193781764
M. musculus,9430015G10Rik,0.200722584
M. musculus,9430038I01Rik,0.213170545
M. musculus,9430069I07Rik,0.210179092
M. musculus,9430097D07Rik,0.183432922
M. musculus,9530002B09Rik,0.190008723
M. musculus,9530003J23Rik,0.194421915
M. musculus,9530053A07Rik,0.216399573
M. musculus,9530068E07Rik,0.201065125
M. musculus,9530077C05Rik,0.192325508
M. musculus,9630041A04Rik,0.199794276
M. musculus,9830107B12Rik,0.195734124
M. musculus,9930012K11Rik,0.201635444
M. musculus,9930022D16Rik,0.176866111
M. musculus,9930104L06Rik,0.205880184
M. musculus,9930111J21Rik1,0.189875345
M. musculus,9930111J21Rik2,0.19073617
M. musculus,A030003K21Rik,0.399760308
M. musculus,A030005K14Rik,0.408423426
M. musculus,A030005L19Rik,0.395020228
M. musculus,A030014E15Rik,0.410782298
M. musculus,A130010J15Rik,0.18911129
M. musculus,A1bg,0.197356353
M. musculus,A1cf,0.188452171
M. musculus,A230050P20Rik,0.214336849
M. musculus,A230072I06Rik,0.188178731
M. musculus,A2ml1,0.18530749
M. musculus,A330070K13Rik,0.196111904
M. musculus,A3galt2,0.199697876
M. musculus,A430005L14Rik,0.203695926
M. musculus,A430033K04Rik,0.196895108
M. musculus,A430078G23Rik,0.16731498
M. musculus,A430089I19Rik,0.201872193
M. musculus,A430105I19Rik,0.205815117
M. musculus,A4galt,0.194474045
M. musculus,A4gnt,0.190636071
M. musculus,A530016L24Rik,0.201853271
M. musculus,A530032D15Rik,0.19814892
M. musculus,A530064D06Rik,0.18590971
M. musculus,A530084C06Rik,0.183585088
M. musculus,A630001G21Rik,0.194532746
M. musculus,A630010A05Rik,0.194997314
M. musculus,A630023A22Rik,0.201098708
M. musculus,A630073D07Rik,0.189533001
M. musculus,A630076J17Rik,0.179696369
M. musculus,A630089N07Rik,0.171900988
M. musculus,A630095E13Rik,0.207396959
M. musculus,A630095N17Rik,0.181136447
M. musculus,A730009L09Rik,0.191756133
M. musculus,A730015C16Rik,0.172693064
M. musculus,A730017C20Rik,0.184295997
M. musculus,A730046J19Rik,0.164561495
M. musculus,A730049H05Rik,0.218843717
M. musculus,A730061H03Rik,0.184622912
M. musculus,A730071L15Rik,0.199792679
M. musculus,A830005F24Rik,0.193952283
M. musculus,A830010M20Rik,0.192496106
M. musculus,A830018L16Rik,0.189162344
M. musculus,A830031A19Rik,0.191395206
M. musculus,A930002H24Rik,0.192693939
M. musculus,A930004D18Rik,0.169423913
M. musculus,A930009A15Rik,0.187504075
M. musculus,A930017K11Rik,0.198699181
M. musculus,A930018P22Rik,0.198430549
M. musculus,A930033H14Rik,0.192563664
M. musculus,AA792892,0.194537515
M. musculus,AA986860,0.204330291
M. musculus,AB124611,0.202196525
M. musculus,AC087559.2,0.198506078
M. musculus,AC087559.3,0.202467711
M. musculus,AC102264.1,0.181542153
M. musculus,AC117188.1,0.182725971
M. musculus,AC117241.1,0.200508488
M. musculus,AC122413.2,0.212254226
M. musculus,AC123873.1,0.193872225
M. musculus,AC123873.2,0.194282352
M. musculus,AC123873.3,0.19133271
M. musculus,AC124606.1,0.194282352
M. musculus,AC124606.2,0.194455012
M. musculus,AC125149.1,0.196168287
M. musculus,AC125149.2,0.193307302
M. musculus,AC125149.3,0.198056271
M. musculus,AC125149.4,0.186960903
M. musculus,AC125149.5,0.186798538
M. musculus,AC125178.1,0.194282352
M. musculus,AC125178.2,0.192479445
M. musculus,AC125178.3,0.202161311
M. musculus,AC125199.3,0.199551722
M. musculus,AC126035.1,0.196572092
M. musculus,AC132444.1,0.212087011
M. musculus,AC132444.2,0.195475173
M. musculus,AC132444.3,0.186798538
M. musculus,AC132444.4,0.195475173
M. musculus,AC132444.5,0.188445847
M. musculus,AC132444.6,0.181202981
M. musculus,AC133095.1,0.195170851
M. musculus,AC133095.2,0.202499796
M. musculus,AC133103.1,0.197831521
M. musculus,AC133103.3,0.188380972
M. musculus,AC133103.4,0.187203535
M. musculus,AC133103.5,0.188258612
M. musculus,AC133103.6,0.195475173
M. musculus,AC133103.7,0.19190464
M. musculus,AC133488.1,0.208626135
M. musculus,AC137513.1,0.189805579
M. musculus,AC137605.1,0.231672195
M. musculus,AC139209.1,0.187407882
M. musculus,AC139209.2,0.179203257
M. musculus,AC140267.1,0.197273243
M. musculus,AC140325.1,0.180404097
M. musculus,AC140325.2,0.201872193
M. musculus,AC140325.3,0.196322683
M. musculus,AC140325.4,0.20249646
M. musculus,AC140365.1,0.194586453
M. musculus,AC144408.3,0.195672097
M. musculus,AC144852.1,0.214510514
M. musculus,AC147512.1,0.188286931
M. musculus,AC149090.1,0.185779061
M. musculus,AC154343.1,0.190261464
M. musculus,AC157554.2,0.222191305
M. musculus,AC157566.4,0.182534464
M. musculus,AC161165.4,0.194480382
M. musculus,AC163611.1,0.195953355
M. musculus,AC163611.2,0.190415039
M. musculus,AC164084.1,0.194537515
M. musculus,AC164084.2,0.194400839
M. musculus,AC164084.3,0.196662173
M. musculus,AC164314.2,0.212254226
M. musculus,AC165294.1,0.192498131
M. musculus,AC165294.2,0.201671372
M. musculus,AC165294.3,0.194351255
M. musculus,AC166710.1,0.201478048
M. musculus,AC168977.1,0.203617081
M. musculus,AC168977.2,0.187456045
M. musculus,AC202135.1,0.177544701
M. musculus,AC234645.1,0.177040145
M. musculus,AC240971.1,0.177317967
M. musculus,AC240971.3,0.191496782
M. musculus,AEKR01077154.1,0.199020108
M. musculus,AF067061,0.208471176
M. musculus,AF067063,0.213888761
M. musculus,AF366264,0.197719203
M. musculus,AF529169,0.202141249
M. musculus,AI182371,0.186517753
M. musculus,AI314180,0.190850966
M. musculus,AI413582,0.197275794
M. musculus,AI429214,0.189219902
M. musculus,AI464131,0.190826445
M. musculus,AI467606,0.189526598
M. musculus,AI481877,0.189123851
M. musculus,AI593442,0.199150355
M. musculus,AI597479,0.196822206
M. musculus,AI606181,0.177871365
M. musculus,AI661453,0.186141156
M. musculus,AI837181,0.20798413
M. musculus,AI854703,0.211074116
M. musculus,AI987944,0.176716483
M. musculus,AK157302,0.198321051
M. musculus,AL592169.1,0.210763336
M. musculus,AL592187.3,0.193264117
M. musculus,AL607142.1,0.182742624
M. musculus,AL645849.1,0.207963581
M. musculus,AL645849.2,0.207944537
M. musculus,AL731706.1,0.184033884
M. musculus,AL731706.2,0.174356553
M. musculus,AL732309.1,0.187006042
M. musculus,AL732309.2,0.188939719
M. musculus,AU015836,0.183549429
M. musculus,AU018091,0.189238947
M. musculus,AU019823,0.201259132
M. musculus,AU021092,0.194192326
M. musculus,AU022252,0.209556264
M. musculus,AU022751,0.176238887
M. musculus,AU040320,0.198714997
M. musculus,AU041133,0.183170439
M. musculus,AV320801,0.186187757
M. musculus,AW011738,0.200090793
M. musculus,AW146154,0.178585076
M. musculus,AW209491,0.198027687
M. musculus,AW549877,0.199664524
M. musculus,AW551984,0.193876367
M. musculus,AW554918,0.196672619
M. musculus,AW822073,0.186418107
M. musculus,AY074887,0.178478687
M. musculus,AY358078,0.195924544
M. musculus,AY761184,0.234305163
M. musculus,AY761185,0.230210415
M. musculus,Aaas,0.188397907
M. musculus,Aacs,0.206317044
M. musculus,Aadac,0.172445892
M. musculus,Aadacl2,0.181011945
M. musculus,Aadacl3,0.186493548
M. musculus,Aadacl4,0.189593873
M. musculus,Aadat,0.185118545
M. musculus,Aagab,0.206143651
M. musculus,Aak1,0.199739521
M. musculus,Aamdc,0.20255696
M. musculus,Aamp,0.204792062
M. musculus,Aanat,0.194306331
M. musculus,Aar2,0.206166874
M. musculus,Aard,0.214688711
