"gene_id","hl.dnCaf1","hl.GFP","gene_name","m6a.enrich","TPU.length","ARE.cts","tAI"
"ENSMUSG00000000148",5.92257719423324,3.12131234859558,"Brat1",-0.310032385,1990,0,0.203200814
"ENSMUSG00000000149",6.97255931124318,4.16909325388852,"Gna12",1.715988673,2141,2,0.206768211
"ENSMUSG00000000154",NA,NA,"Slc22a18",-1.519936684,62,0,0.191756263
"ENSMUSG00000000157",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000159",NA,NA,"Igsf5",2.70180573,670,1,0.195684086
"ENSMUSG00000000167",NA,NA,"Pih1d2",-0.500479848,3,0,0.19142422
"ENSMUSG00000000168",7.06270031207322,3.96192272007765,"Dlat",-1.100592011,1792,9,0.204357499
"ENSMUSG00000000171",12.440949853095,4.36968204970403,"Sdhd",-2.597626132,728,5,0.192781401
"ENSMUSG00000000182",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000183",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000184",10.0125920859995,5.33033712735096,"Ccnd2",0.680324742,5173,6,0.222735646
"ENSMUSG00000000194",5.46610859756747,3.68591259251669,"Gpr107",0.074326341,4435,7,0.194032711
"ENSMUSG00000000197",3.22968601179689,3.94600615621549,"Nalcn",-0.399752172,1534,5,0.185663814
"ENSMUSG00000000202",NA,NA,"Btbd17",0.221898887,231,0,0.200163069
"ENSMUSG00000000204",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000214",NA,NA,"Th",-3.29912698,279,0,0.204291331
"ENSMUSG00000000215",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000216",NA,NA,"Scnn1g",3.026062873,926,0,0.198040586
"ENSMUSG00000000223",4.49950198679682,3.2542450718406,"Drp2",-0.284130277,3873,7,0.195860385
"ENSMUSG00000000244",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000247",6.60645018291202,2.3471350332309,"Lhx2",-0.368348985,604,4,0.211453992
"ENSMUSG00000000248",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000253",7.6332643279265,4.06622202944892,"Gmpr",-1.477521031,329,0,0.206461345
"ENSMUSG00000000263",NA,NA,"Glra1",1.658743003,575,1,0.201689275
"ENSMUSG00000000266",4.21565312481704,3.6895168899965,"Mid2",2.199105388,3834,16,0.201517315
"ENSMUSG00000000275",2.38164285198448,2.88074891399006,"Trim25",0.898509909,3572,2,0.227118518
"ENSMUSG00000000276",4.51685071525603,2.79574562424248,"Dgke",1.632231014,5553,21,0.205842181
"ENSMUSG00000000278",NA,2.88548048563276,"Scpep1",-1.751550327,642,3,0.195396315
"ENSMUSG00000000282",3.39280096625636,2.20939211469497,"Mnt",-1.669161195,2405,3,0.20717618
"ENSMUSG00000000290",NA,NA,"Itgb2",-2.692498335,446,2,0.220219123
"ENSMUSG00000000295",NA,NA,"Hddc2",-0.996170352,226,0,0.200917851
"ENSMUSG00000000296",NA,8.44445200355145,"Tpd52l1",-1.491728402,583,7,0.210868936
"ENSMUSG00000000301",3.32507702118337,2.8101972960727,"Pemt",-2.487991882,204,0,0.189640585
"ENSMUSG00000000303",NA,NA,"Cdh1",-0.034464689,1631,5,0.19356545
"ENSMUSG00000000305",6.41426743581791,4.45111055950849,"Cdh4",1.331320478,3455,2,0.199497464
"ENSMUSG00000000308",NA,8.24675742676034,"Ckmt1",-1.609182451,123,1,0.197640174
"ENSMUSG00000000317",NA,NA,"Bcl6b",0.278870281,1899,2,0.194068887
"ENSMUSG00000000318",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000320",NA,NA,"Alox12",-0.579067537,1072,7,0.194823535
"ENSMUSG00000000325",7.00540760555081,3.24123747553347,"Arvcf",0.458209903,1470,2,0.202871593
"ENSMUSG00000000326",6.72225523455917,4.50311536794295,"Comt",-0.956168214,951,0,0.208509468
"ENSMUSG00000000339",NA,4.35050854869512,"Rtca",-0.899345608,274,0,0.205946014
"ENSMUSG00000000340",6.76318915355757,3.20483283551785,"Dbt",0.678081846,1781,6,0.196587083
"ENSMUSG00000000346",6.36226884265808,3.49636373421275,"Dazap2",-2.758171751,1265,5,0.192959664
"ENSMUSG00000000355",NA,4.13946490396506,"Mcts1",-1.819123513,124,0,0.184785602
"ENSMUSG00000000359",NA,NA,"Rem1",-1.605126956,477,0,0.200653273
"ENSMUSG00000000365",NA,NA,"Rnf17",0.598436525,220,2,0.194159077
"ENSMUSG00000000374",8.53374351398884,4.15071698154751,"Trappc10",1.032056642,1131,4,0.201856236
"ENSMUSG00000000378",NA,4.04478690553194,"Ccm2",-0.04199967,383,1,0.20158354
"ENSMUSG00000000381",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000384",6.80836051480866,3.48918860124669,"Tbrg4",-1.374202842,190,0,0.204189313
"ENSMUSG00000000385",NA,NA,"Tmprss2",-1.454329128,1458,1,0.203130809
"ENSMUSG00000000386",NA,NA,"Mx1",-0.239549002,1105,0,0.212289273
"ENSMUSG00000000392",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000394",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000399",NA,5.41955313357348,"Ndufa9",-2.691088205,298,0,0.188391193
"ENSMUSG00000000402",NA,NA,"Egfl6",-0.582787436,854,2,0.208401264
"ENSMUSG00000000409",NA,4.92214635041225,"Lck",-1.132806101,454,0,0.198810475
"ENSMUSG00000000411",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000416",2.75913171343773,2.33057623813698,NA,NA,NA,NA,NA
"ENSMUSG00000000420",5.21395918188575,2.96113806005004,"Galnt1",1.687068707,1962,7,0.188419297
"ENSMUSG00000000435",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000439",6.63366658002459,3.54627156855596,"Mkrn2",-0.533363276,4893,10,0.209487441
"ENSMUSG00000000440",NA,NA,"Pparg",-0.130894913,204,5,0.202655193
"ENSMUSG00000000441",4.87396491569022,2.89241665011602,"Raf1",-0.532453003,697,2,0.196996448
"ENSMUSG00000000486",NA,NA,"Sept1",-1.068071729,296,0,0.207664761
"ENSMUSG00000000489",5.18690574189624,2.69451763815465,"Pdgfb",0.686323242,1384,4,0.210759166
"ENSMUSG00000000530",NA,NA,"Acvrl1",-1.202768897,1859,3,0.206828833
"ENSMUSG00000000531",4.80795670419206,3.4086369990199,"Grasp",-1.20954876,740,3,0.201404696
"ENSMUSG00000000532",5.66825007048407,2.8358608575044,"Acvr1b",0.13135588,2822,6,0.202309024
"ENSMUSG00000000538",6.27574293788145,4.34027001204319,"Tom1l2",-0.68067647,3379,3,0.197819634
"ENSMUSG00000000544",NA,NA,"Gpa33",-0.20430514,1231,4,0.204704132
"ENSMUSG00000000552",6.47037596762848,3.47394086741709,"Zfp385a",-1.950728765,1100,0,0.209259216
"ENSMUSG00000000555",6.4388683835264,NA,"Itga5",0.719604602,983,2,0.175403824
"ENSMUSG00000000560",6.86709488090917,4.86457214210084,"Gabra2",-0.84383523,4205,19,0.185309806
"ENSMUSG00000000561",4.73115279115533,4.01591853851738,"Wdr77",0.001379411,2438,6,0.189736178
"ENSMUSG00000000562",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000563",12.2039924895053,6.4728234958709,"Atp5f1",-1.42290986,288,1,0.204329665
"ENSMUSG00000000567",3.94740295175763,1.70809283584821,"Sox9",0.222810373,2250,7,0.203904347
"ENSMUSG00000000568",11.9342871319401,3.78570231648248,"Hnrnpd",-0.002751715,5399,19,0.202198528
"ENSMUSG00000000579",NA,NA,"Dynlt1c",-0.783255655,2108,3,0.200626317
"ENSMUSG00000000581",8.05099912455815,5.04818895071748,"C1d",-1.927657539,2481,12,0.209079855
"ENSMUSG00000000594",NA,4.74339639578885,"Gm2a",-1.28343268,3496,0,0.196039845
"ENSMUSG00000000600",3.29679112473051,3.47936271816741,"Krit1",1.098932646,3361,5,0.186774286
"ENSMUSG00000000605",NA,5.08436814861541,"Clcn4",1.59143939,1875,8,0.196021363
"ENSMUSG00000000606",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000617",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000627",6.35080071246358,3.40490018974664,"Sema4f",1.196731713,1606,1,0.194293725
"ENSMUSG00000000628",2.77863084439075,NA,"Hk2",0.90628651,2285,10,0.213683274
"ENSMUSG00000000631",9.09893493340782,4.24035994622268,"Myo18a",1.663419185,1145,2,0.215489852
"ENSMUSG00000000632",NA,5.73459871134898,"Sez6",-0.28132378,1003,1,0.192919237
"ENSMUSG00000000673",NA,NA,"Haao",0.103185618,487,0,0.204579743
"ENSMUSG00000000682",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000686",NA,NA,"Abhd15",2.022105748,1204,1,0.191712363
"ENSMUSG00000000690",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000693",4.81681053783769,NA,"Loxl3",-0.597075605,1689,2,0.20701294
"ENSMUSG00000000701",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000706",NA,NA,"Btn1a1",1.045213774,1711,1,0.194758084
"ENSMUSG00000000708",3.27358406438449,2.24885310623802,"Kat2b",-0.569239349,1852,14,0.198710427
"ENSMUSG00000000711",7.3659058825129,4.61774951539602,"Rab5b",-0.784922983,2355,7,0.212071526
"ENSMUSG00000000724",NA,NA,"Cryba1",-0.310548727,128,0,0.19753606
"ENSMUSG00000000730",NA,NA,"Dnmt3l",-2.60198793,273,0,0.202233832
"ENSMUSG00000000731",NA,NA,"Aire",-2.273758662,294,0,0.212887061
"ENSMUSG00000000732",NA,NA,"Icosl",1.703589827,1622,1,0.191068638
"ENSMUSG00000000738",5.06159131277136,5.53818460895188,NA,NA,NA,NA,NA
"ENSMUSG00000000739",NA,NA,"Sult5a1",-1.965024803,2839,3,0.188328278
"ENSMUSG00000000740",15.7954305009362,5.58502957064484,"Rpl13",-2.872783437,42,0,0.210906098
"ENSMUSG00000000743",8.61274860506197,4.85034545215268,"Chmp1a",0.106661087,1461,0,0.240792162
"ENSMUSG00000000751",6.62135960223885,3.77022278826586,"Rpa1",-0.678288373,3139,4,0.203609459
"ENSMUSG00000000753",NA,NA,"Serpinf1",-1.627518812,365,1,0.186185838
"ENSMUSG00000000759",4.47230411458837,3.73574981074549,"Tubgcp3",-0.520953797,861,3,0.190402574
"ENSMUSG00000000766",NA,NA,"Oprm1",1.222811256,1037,2,0.191313037
"ENSMUSG00000000776",5.98869399314351,3.14313096657066,"Polr3d",0.481458862,699,2,0.203447444
"ENSMUSG00000000782",NA,NA,"Tcf7",-0.731977382,1512,0,0.201374527
"ENSMUSG00000000787",4.25583676994976,2.71469950149407,"Ddx3x",0.645061268,2560,9,0.181335371
"ENSMUSG00000000791",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000792",NA,NA,"Slc5a5",-1.039011356,975,3,0.194115388
"ENSMUSG00000000794",NA,1.84513246660818,"Kcnn3",2.063635146,380,0,0.193809129
"ENSMUSG00000000804",6.50844196732203,3.11204798938807,"Usp32",1.23883211,1968,5,0.184754701
"ENSMUSG00000000805",4.08470050434649,NA,"Car4",-1.918836597,239,0,0.20706107
"ENSMUSG00000000811",4.87724825498043,3.28840642629887,"Txnrd3",-0.200702882,732,1,0.200174697
"ENSMUSG00000000817",NA,NA,"Fasl",2.699577485,887,3,0.19178008
"ENSMUSG00000000823",4.92630977202264,3.90813984749384,"Zfp512b",0.331632349,2719,2,0.210968936
"ENSMUSG00000000826",6.76994281965532,5.37837546105228,"Dnajc5",-0.897851519,5757,5,0.232511981
"ENSMUSG00000000827",5.06930888603438,3.57780000867404,"Tpd52l2",-0.209056507,2791,4,0.204138645
"ENSMUSG00000000838",6.65153663808916,2.97852578141761,"Fmr1",0.644039424,2288,11,0.18627184
"ENSMUSG00000000861",5.08293225737084,3.01382858860763,"Bcl11a",0.508591119,3263,15,0.188607516
"ENSMUSG00000000869",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000876",4.67347342820312,3.64973499913816,"Pxmp4",-0.369209962,2071,0,0.192149965
"ENSMUSG00000000881",6.55383012182609,3.90621859803073,"Dlg3",0.278911704,2083,3,0.200666302
"ENSMUSG00000000884",3.49428430062482,2.00159708173657,"Gnb1l",-0.563033282,2393,2,0.208145957
"ENSMUSG00000000889",NA,NA,"Dbh",-1.357238388,400,0,0.200915763
"ENSMUSG00000000901",6.153670606273,NA,"Mmp11",-1.57530171,760,0,0.095338005
"ENSMUSG00000000902",9.13057059524811,3.31158845316527,"Smarcb1",-1.542564921,280,0,0.212451571
"ENSMUSG00000000903",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000915",7.25730585141704,5.13741822472465,"Hip1r",-0.238225433,3393,5,0.221232086
"ENSMUSG00000000916",4.24136074102524,3.53921042994462,"Nsun5",-2.446092953,814,4,0.20661577
"ENSMUSG00000000934",NA,3.44106234317483,"Top1mt",-1.128789422,77,0,0.218736534
"ENSMUSG00000000938",NA,NA,"Hoxa10",-0.439741877,1309,2,0.204409443
"ENSMUSG00000000942",NA,NA,"Hoxa4",-0.053438466,671,4,0.202418641
"ENSMUSG00000000948",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000957",7.26887471611628,2.39270605202383,"Mmp14",0.102582191,1328,0,0.195392229
"ENSMUSG00000000958",NA,NA,"Slc7a7",-1.099157069,344,1,0.189469992
"ENSMUSG00000000959",6.81847673446008,3.49388171270006,"Oxa1l",-0.852475496,1222,3,0.195115777
"ENSMUSG00000000976",3.3287607032086,3.07803556103753,"Heatr6",0.558117984,2032,8,0.201793798
"ENSMUSG00000000982",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000000983",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001014",NA,NA,"Icam4",-1.856955319,239,0,0.191501318
"ENSMUSG00000001016",15.7964322608737,4.3242907381005,"Ilf2",-0.942641706,760,1,0.191673155
"ENSMUSG00000001017",6.19583231753575,3.33181266636785,"Chtop",0.155176851,946,5,0.197805917
"ENSMUSG00000001018",6.32461729201921,3.07937148266416,"Snapin",-0.342488907,1458,10,0.198296191
"ENSMUSG00000001020",3.34688057441048,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001021",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001023",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001025",NA,NA,"S100a6",-3.058983922,92,0,0.23635329
"ENSMUSG00000001027",NA,NA,"Scn4a",0.345369823,1072,1,0.202940151
"ENSMUSG00000001029",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001034",4.34567502542425,3.13055989014785,"Mapk7",0.564491107,305,0,0.200865241
"ENSMUSG00000001036",5.96798277143842,2.8341380020351,"Epn2",0.816138643,2169,8,0.202225775
"ENSMUSG00000001039",NA,2.87358690740905,"B9d1",-2.476814675,137,0,0.192586226
"ENSMUSG00000001052",4.39614223232049,2.63414153094843,"Sec24b",0.458143666,1133,4,0.189525354
"ENSMUSG00000001053",6.19319457342372,1.47445065239443,"N4bp3",0.322566154,558,0,0.205000489
"ENSMUSG00000001054",7.30615917766452,2.60586439833002,"Rmnd5b",0.063346745,410,0,0.217949026
"ENSMUSG00000001056",15.3335108784045,6.19262637715868,"Nhp2",-2.872025884,497,0,0.237044662
"ENSMUSG00000001062",5.242925689661,4.97782778858484,"Vps9d1",-0.619974216,740,1,0.211400017
"ENSMUSG00000001065",3.04684731946664,2.97164130377367,"Zfp276",1.244036809,1705,1,0.214368648
"ENSMUSG00000001076",NA,NA,"C1ql4",-0.231209566,668,0,0.20579234
"ENSMUSG00000001082",4.53263013823546,2.99025830075941,"Mfsd10",-3.128274175,257,0,0.189721414
"ENSMUSG00000001089",3.29977194495557,2.48824761845703,"Luzp1",3.507046984,3926,7,0.198250476
"ENSMUSG00000001095",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001098",4.31730755051298,2.49917803473704,"Kctd10",-1.470814113,2075,3,0.210973763
"ENSMUSG00000001100",9.27558610269202,4.59030147705029,"Poldip2",-1.134903632,828,0,0.185296657
"ENSMUSG00000001103",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001105",NA,4.33771520702906,"Ift20",-1.694586347,295,0,0.226547752
"ENSMUSG00000001119",NA,7.91947980983117,"Col6a1",0.868415584,767,0,0.208857076
"ENSMUSG00000001120",6.16352003592711,4.91850436412212,"Pcbp3",-2.178260895,633,1,0.202944821
"ENSMUSG00000001123",16,NA,"Lgals9",-2.343834625,421,0,0.19303486
"ENSMUSG00000001127",9.28092534625831,5.52791903115393,"Araf",-1.24196806,872,3,0.201047321
"ENSMUSG00000001128",NA,3.28435044791604,"Cfp",-1.466550896,140,0,0.222495585
"ENSMUSG00000001131",NA,NA,"Timp1",-2.349479653,103,0,0.206353839
"ENSMUSG00000001134",NA,NA,"Uxt",-2.433401933,308,1,0.185592678
"ENSMUSG00000001138",3.6445596583814,2.86896877749621,"Cnnm3",1.138192728,3072,1,0.211513487
"ENSMUSG00000001143",5.80105380117207,4.37908317026358,NA,NA,NA,NA,NA
"ENSMUSG00000001150",4.176152362359,3.38682314623925,"Mcm3ap",0.550114443,117,0,0.198133823
"ENSMUSG00000001151",3.32988334249007,3.6203573394915,"Pcnt",1.756263638,476,0,0.216225099
"ENSMUSG00000001155",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001156",2.96695453889368,1.99048565516716,"Mxd1",1.159930789,3829,7,0.207573756
"ENSMUSG00000001157",6.31086811484933,2.78566210157986,"Gmcl1",-0.191049811,1155,6,0.194348938
"ENSMUSG00000001158",6.73799436419355,4.55610888286139,"Snrnp27",-2.351090177,387,1,0.176745842
"ENSMUSG00000001166",1.96912036683776,NA,"Oas1c",0.682507589,840,1,0.200176679
"ENSMUSG00000001168",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001173",4.62243817449593,3.83528492112296,"Ocrl",0.583014208,2284,6,0.183161648
"ENSMUSG00000001175",16,8.37477590537985,"Calm1",0.151110691,3386,11,0.201104255
"ENSMUSG00000001211",8.21350461567908,5.22503433490164,"Agpat3",-1.271428298,4509,4,0.202902044
"ENSMUSG00000001225",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001227",6.9655057971551,3.78068680112007,"Sema6b",0.109782688,916,0,0.196280117
"ENSMUSG00000001228",NA,NA,"Uhrf1",-0.718005513,984,3,0.212588904
"ENSMUSG00000001229",5.37918443857148,3.50784908782034,"Dpp9",-0.924964624,552,2,0.20086247
"ENSMUSG00000001240",2.25805310037655,3.19259564216158,"Ramp2",-2.400950907,558,0,0.202259653
"ENSMUSG00000001247",NA,NA,"Lsr",-1.392928477,96,0,0.187719674
"ENSMUSG00000001248",6.93392482344299,4.52934166143719,"Gramd1a",-1.718659779,365,1,0.191009708
"ENSMUSG00000001249",NA,NA,"Hpn",-4.118665125,371,0,0.208780728
"ENSMUSG00000001260",NA,2.00319490328557,"Gabrg1",-0.018510453,2975,29,0.177628733
"ENSMUSG00000001270",15.289920873237,6.84058059844511,"Ckb",-2.032900265,202,0,0.209738537
"ENSMUSG00000001280",3.12122617525574,2.49984897347659,NA,NA,NA,NA,NA
"ENSMUSG00000001281",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001285",7.62294210294934,3.70082522577084,"Myg1",-1.300571435,305,0,0.195107109
"ENSMUSG00000001288",3.13548002656074,2.07520149166054,"Rarg",-1.484393939,1086,3,0.210938644
"ENSMUSG00000001289",7.95390646818081,9.11197096265115,"Pfdn5",-2.623331419,524,0,0.230170271
"ENSMUSG00000001300",3.49941043184163,1.9402148230101,"Efnb2",2.256351855,3154,9,0.196019307
"ENSMUSG00000001305",4.14871969356293,2.70504862511719,"Rrp15",1.643870428,425,3,0.233879439
"ENSMUSG00000001313",NA,NA,"Rnd2",-1.331797191,547,1,0.206350543
"ENSMUSG00000001323",10.5506066002292,5.8394411230888,"Srr",0.346444952,2269,7,0.199146472
"ENSMUSG00000001333",2.88093576252849,NA,"Sync",1.19182461,507,4,0.215743072
"ENSMUSG00000001334",3.87380392189752,0.959808097293067,"Fndc5",1.531071708,2053,1,0.211175388
"ENSMUSG00000001348",NA,NA,"Acp5",-1.623084087,293,0,0.194818915
"ENSMUSG00000001349",NA,NA,"Cnn1",-1.073147514,1399,2,0.211378324
"ENSMUSG00000001366",4.94643624015452,4.45298082664324,"Fbxo9",-0.710107914,481,1,0.19262778
"ENSMUSG00000001376",NA,4.20560028673592,"Vps50",0.290222418,1933,5,0.194061563
"ENSMUSG00000001380",9.39828111159069,4.6445997055381,"Hars",0.256760618,354,0,0.208391855
"ENSMUSG00000001383",8.70399836459552,NA,"Zmat2",-1.452654173,1644,3,0.230343264
"ENSMUSG00000001403",NA,NA,"Ube2c",-2.931799923,1598,1,0.201682891
"ENSMUSG00000001415",4.46462548104842,3.85563558149601,"Smg5",-0.339928718,1230,0,0.202086708
"ENSMUSG00000001416",15.2405532527048,4.6327346233265,"Cct3",-1.114958831,329,0,0.207583034
"ENSMUSG00000001418",5.92251003447217,4.88855641663741,"Glmp",-2.549173312,2945,7,0.187119898
"ENSMUSG00000001419",6.3380563634519,3.72707280700005,"Mef2d",-1.621077929,3443,4,0.194994664
"ENSMUSG00000001420",NA,NA,"Tmem79",-0.08507394,1064,0,0.190999313
"ENSMUSG00000001424",11.1782029533544,NA,"Snd1",-1.168512951,1748,2,0.191517646
"ENSMUSG00000001435",NA,3.50069533116014,"Col18a1",-0.814298504,1016,3,0.19339916
"ENSMUSG00000001436",NA,3.14820804421311,"Slc19a1",0.001438896,1207,0,0.18572508
"ENSMUSG00000001440",8.29423229163176,3.64091130254258,"Kpnb1",0.512978954,2967,9,0.20891433
"ENSMUSG00000001441",9.80098582137956,4.2960342320097,"Npepps",-0.479249591,1272,0,0.185510409
"ENSMUSG00000001444",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001445",9.56403960442861,4.25597781733327,"Mrpl10",-0.629729053,878,0,0.195294119
"ENSMUSG00000001467",8.82558947522654,4.1267689401754,"Cyp51",0.038582484,1980,2,0.190583707
"ENSMUSG00000001472",NA,8.45305876581371,"Tcf25",-0.804708698,3104,1,0.19320579
"ENSMUSG00000001473",6.59602602321316,3.9822448065022,"Tubb6",-0.037831884,373,0,0.209782034
"ENSMUSG00000001482",8.92115619068109,4.24122263283716,NA,NA,NA,NA,NA
"ENSMUSG00000001493",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001494",NA,NA,"Sost",-1.61553284,1388,4,0.215510345
"ENSMUSG00000001496",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001497",NA,NA,"Pax9",0.32887623,2915,11,0.202730164
"ENSMUSG00000001504",NA,NA,"Irx2",1.172895357,935,6,0.213322316
"ENSMUSG00000001506",NA,NA,"Col1a1",-1.633269839,1423,2,0.192533317
"ENSMUSG00000001507",NA,4.1577273158736,"Itga3",1.105899886,1290,1,0.19975566
"ENSMUSG00000001508",4.89846003029346,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001510",NA,NA,"Dlx3",0.475543882,1540,1,0.192053647
"ENSMUSG00000001517",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001518",NA,4.38578237287153,"Itfg2",-0.50783088,2009,2,0.207802149
"ENSMUSG00000001520",NA,3.10170136931437,NA,NA,NA,NA,NA
"ENSMUSG00000001521",5.11487656408972,2.71384926398226,NA,NA,NA,NA,NA
"ENSMUSG00000001524",5.56214742013859,3.01290641503915,"Gtf2h4",-2.416486052,100,0,0.195010476
"ENSMUSG00000001525",8.34903040420859,5.86919979711887,"Tubb5",-0.898810147,1061,2,0.198992584
"ENSMUSG00000001542",3.67221083884394,2.94583366131072,"Ell2",0.732691674,1568,9,0.193465204
"ENSMUSG00000001552",6.50991037618832,3.62480625816886,"Jup",-2.241443116,831,0,0.211463572
"ENSMUSG00000001555",NA,NA,"Fkbp10",-1.587942207,751,0,0.19288109
"ENSMUSG00000001558",NA,NA,"Klhl10",1.089148274,76,1,0.200801001
"ENSMUSG00000001566",NA,NA,"Mnx1",0.503655165,835,4,0.217235413
"ENSMUSG00000001569",5.18830417141947,3.22133216449655,"Nom1",1.695004068,6640,4,0.203780359
"ENSMUSG00000001576",11.1219400795211,4.98158883848366,"Ergic1",-1.449103647,1757,2,0.193138472
"ENSMUSG00000001583",NA,NA,"Tnk1",-0.30831527,597,1,0.192689184
"ENSMUSG00000001588",NA,NA,"Acap1",0.911181108,58,0,0.205716444
"ENSMUSG00000001604",NA,NA,"Tcea3",-1.064024277,110,0,0.213377286
"ENSMUSG00000001622",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001627",5.81794922656312,3.04109158781813,"Ifrd1",-1.168789968,1795,6,0.196893871
"ENSMUSG00000001630",4.50503664399401,3.20729894559513,"Stk38l",2.379455557,3091,7,0.196770627
"ENSMUSG00000001632",4.3536161120166,1.90371215799135,"Brpf1",2.585434955,694,3,0.208616612
"ENSMUSG00000001642",9.63040128233914,4.88955632401311,"Akr1b3",-2.226727387,363,0,0.211818441
"ENSMUSG00000001655",NA,NA,"Hoxc13",1.609520979,1389,2,0.20538279
"ENSMUSG00000001656",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001657",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001661",NA,NA,"Hoxc6",-1.412688799,840,6,0.186213261
"ENSMUSG00000001663",NA,NA,"Gstt1",-2.595597575,226,0,0.211437806
"ENSMUSG00000001665",NA,NA,"Gstt3",-1.672930811,698,0,0.219070826
"ENSMUSG00000001666",NA,NA,"Ddt",-2.541046707,204,0,0.196152375
"ENSMUSG00000001670",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000001672",NA,NA,"Marveld3",1.548331086,1220,1,0.193947207
