source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,intersection_query_percent,effective_domain_size,intersections
GO:BP,amide biosynthetic process,GO:0043604,FALSE,4.17E-13,12.37999217,888,142,30,21.12676056,27334,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,amide metabolic process,GO:0043603,FALSE,3.38E-12,11.47109529,1192,142,33,23.23943662,27334,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000027890,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,organonitrogen compound biosynthetic process,GO:1901566,FALSE,8.62E-12,11.06451579,1761,142,39,27.46478873,27334,"ENSMUSG00000024608,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000003072,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000014294,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,cellular macromolecule biosynthetic process,GO:0034645,FALSE,2.27E-10,9.644582724,1211,142,31,21.83098592,27334,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,cellular biosynthetic process,GO:0044249,FALSE,2.29E-07,6.640856194,5762,142,64,45.07042254,27334,"ENSMUSG00000038628,ENSMUSG00000024608,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000038437,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000022205,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000000823,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000018547,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025025,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000020658,ENSMUSG00000001211,ENSMUSG00000003072,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000015709,ENSMUSG00000033020,ENSMUSG00000014294,ENSMUSG00000022389,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,cellular macromolecule metabolic process,GO:0044260,FALSE,3.45E-07,6.46192562,3197,142,45,31.69014085,27334,"ENSMUSG00000044627,ENSMUSG00000024608,ENSMUSG00000028411,ENSMUSG00000047675,ENSMUSG00000038437,ENSMUSG00000024219,ENSMUSG00000025508,ENSMUSG00000022205,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000018567,ENSMUSG00000003429,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025144,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000073436,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000042462,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000039850,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040356,ENSMUSG00000040952,ENSMUSG00000077450"
GO:BP,organic substance biosynthetic process,GO:1901576,FALSE,4.61E-07,6.335939127,5855,142,64,45.07042254,27334,"ENSMUSG00000038628,ENSMUSG00000024608,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000038437,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000022205,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000000823,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000018547,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025025,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000020658,ENSMUSG00000001211,ENSMUSG00000003072,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000015709,ENSMUSG00000033020,ENSMUSG00000014294,ENSMUSG00000022389,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,biosynthetic process,GO:0009058,FALSE,9.84E-07,6.007162183,5958,142,64,45.07042254,27334,"ENSMUSG00000038628,ENSMUSG00000024608,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000038437,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000022205,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000000823,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000018547,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025025,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000020658,ENSMUSG00000001211,ENSMUSG00000003072,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000015709,ENSMUSG00000033020,ENSMUSG00000014294,ENSMUSG00000022389,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,organonitrogen compound metabolic process,GO:1901564,FALSE,3.13817E-06,5.503324149,6589,142,67,47.18309859,27334,"ENSMUSG00000031897,ENSMUSG00000024608,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000038437,ENSMUSG00000024219,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000018411,ENSMUSG00000037754,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000038453,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000073616,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000024654,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000034613,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000042462,ENSMUSG00000000915,ENSMUSG00000003072,ENSMUSG00000084786,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000014294,ENSMUSG00000062580,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000026275,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000042901,ENSMUSG00000040785,ENSMUSG00000040952,ENSMUSG00000009073"
GO:BP,cellular nitrogen compound biosynthetic process,GO:0044271,FALSE,5.41668E-06,5.266266784,4856,142,55,38.73239437,27334,"ENSMUSG00000038628,ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000038437,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000022205,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000000823,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000106918,ENSMUSG00000025025,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000003072,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000015709,ENSMUSG00000033020,ENSMUSG00000014294,ENSMUSG00000022389,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,protein metabolic process,GO:0019538,FALSE,1.60823E-05,4.793651594,5596,142,59,41.54929577,27334,"ENSMUSG00000031897,ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000038437,ENSMUSG00000024219,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000018411,ENSMUSG00000037754,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000038453,ENSMUSG00000026087,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000073616,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000024654,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000034613,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000054428,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000000915,ENSMUSG00000084786,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000062580,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000026275,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000042901,ENSMUSG00000040785,ENSMUSG00000040952,ENSMUSG00000009073"
GO:BP,cellular metabolic process,GO:0044237,FALSE,5.93513E-05,4.226570116,12437,142,97,68.30985915,27334,"ENSMUSG00000038628,ENSMUSG00000044627,ENSMUSG00000024608,ENSMUSG00000028411,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000038437,ENSMUSG00000024219,ENSMUSG00000000088,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000018411,ENSMUSG00000022205,ENSMUSG00000037754,ENSMUSG00000021520,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000038453,ENSMUSG00000000823,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000039183,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000062006,ENSMUSG00000024654,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000034613,ENSMUSG00000025241,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025025,ENSMUSG00000025144,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000022390,ENSMUSG00000031818,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000053617,ENSMUSG00000073436,ENSMUSG00000079435,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000020658,ENSMUSG00000042462,ENSMUSG00000001211,ENSMUSG00000003072,ENSMUSG00000084786,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000015709,ENSMUSG00000067847,ENSMUSG00000028998,ENSMUSG00000033020,ENSMUSG00000014294,ENSMUSG00000029632,ENSMUSG00000022389,ENSMUSG00000039850,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000026275,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040356,ENSMUSG00000042901,ENSMUSG00000040952,ENSMUSG00000077450,ENSMUSG00000009073"
GO:BP,macromolecule biosynthetic process,GO:0009059,FALSE,0.000282374,3.549175811,4825,142,51,35.91549296,27334,"ENSMUSG00000038628,ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000038437,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000022205,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000000823,ENSMUSG00000026087,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025025,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000015709,ENSMUSG00000033020,ENSMUSG00000022389,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040952"
GO:BP,organelle organization,GO:0006996,TRUE,0.000415315,3.38162212,3464,142,41,28.87323944,27334,"ENSMUSG00000024608,ENSMUSG00000002395,ENSMUSG00000018411,ENSMUSG00000022205,ENSMUSG00000070493,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000098274,ENSMUSG00000021061,ENSMUSG00000029761,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000024743,ENSMUSG00000054455,ENSMUSG00000025241,ENSMUSG00000025144,ENSMUSG00000067288,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000067629,ENSMUSG00000049517,ENSMUSG00000031819,ENSMUSG00000063063,ENSMUSG00000073436,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000000915,ENSMUSG00000003072,ENSMUSG00000008682,ENSMUSG00000067847,ENSMUSG00000028998,ENSMUSG00000014294,ENSMUSG00000062580,ENSMUSG00000054728,ENSMUSG00000030000,ENSMUSG00000011589,ENSMUSG00000040952,ENSMUSG00000009073,ENSMUSG00000032479"
GO:BP,ribosome assembly,GO:0042255,TRUE,0.001584071,2.800225428,62,142,6,4.225352113,27334,"ENSMUSG00000024608,ENSMUSG00000098274,ENSMUSG00000067288,ENSMUSG00000029614,ENSMUSG00000008682,ENSMUSG00000040952"
